A/A	Name				Image		Enemies		Main Description
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
1	Plains Of Hope			ok		nope		You stand next to the smithy while a wind current hits your face. While standing idle watching the merchant bringing his new merchantice out of the caravan and the doctor tending the wounds of a peasant, you observe in the horizon a way pointer pointing north-west, north-east and west. 
2	Dead Wing Passage			ok		1		The wind hits the two statues of men violently will a cold breeze comes from the snowy mountains of the south.
3	Daramish				ok		2		This area was once plains where farmers grew their crops, now bandits and outlaws inhabit this area and they have camps all over the plains.
4	Belverus Lake			ok		2		A small lake in the middle of the region. Its a misty place full of beasts and other predators. While following the road you find your self at the meeting point of three roads, one leading to the west, one to the south-west and one to the south-east. 
5	Baramish Ruins			ok		2		Baramish ruins are one of the many ruins that the great war left at its passage. Before that it was an outpost to supply weapons and armor to the soldiers of the south.
6	Nimrod Beach			ok		2		The sound of the waves calms your mind as you walk towards the coast. You realize there is pirate ship in the horizon loading barrels and food from the coast line. 
7	Anglor Bay				ok		2		Anglor bay is the main hideout of pirates and smuglers on the south parts of Yeress. You carefully try to sneak into the cave withoun any of the pirates noticeing you.
8	Angabur Village			ok		nope		While entring the village you realize that some of the villagers are gazing at you with a buldersome glance. At the far east of the village next to a shop you see a doctor puting dead bodies into a caravan.  
9	Angabur Cemetery			ok		2		People from angabur village and the plains of hope have been buring their dead since the great war, when a necromancer laid a curse on their desendants.
10	Angabur Tombs			ok		2		While opening the door to the tomb you smell an intense scent of dead corpses. Continueing down the stairs you hear creape sounds and so you draw emidiately your weapon.
11	Delta Rivers			ok		2		Bandits and other tribes from the south have made their residence on delta rivers. You are trying to find a way to cross the rivers and head west without noticing you.
12	Aldor Ascend			ok		2		The road to the mountains of Aldor is steep and the cold winter wind makes your body tremble. You slowly see the peak at the horizon on the west.
13	Aldor Summit			ok		3		At the mountain summit you road is blocked by a huge rocky gate. After a while observing this gate you realize that a big skull is carved on it.
